_id,colCode,colName,branCode,branName
6457ad9abd452186e59e3578,1051008,"Manni Raja Gopala Swamy Government Arts College, Mannargudi - 614001",SZOE1,B.Sc. Zoology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3598,1051012,"Ponmana Chemmal Puratchi Thalaivar M.G.R. Government Arts and Science College,  Sirkali, Puthur-609108",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3595,1051012,"Ponmana Chemmal Puratchi Thalaivar M.G.R. Government Arts and Science College,  Sirkali, Puthur-609108",CBAE1,B.B.A. Business  Administration (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35a0,1052013,"Government Arts and Science College for Women,  Orathanadu - 614625  ",ABSE1,B.S.W. (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35a4,1052013,"Government Arts and Science College for Women,  Orathanadu - 614625  ",SCSE1,B.Sc. Computer Science (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35a7,1052013,"Government Arts and Science College for Women,  Orathanadu - 614625  ",SCHE1,B.Sc. Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3575,1051008,"Manni Raja Gopala Swamy Government Arts College, Mannargudi - 614001",SCSE1,B.Sc. Computer Science (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35aa,1052013,"Government Arts and Science College for Women,  Orathanadu - 614625  ",CCOE2,B.Com. (Commerce) (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e35a8,1052013,"Government Arts and Science College for Women,  Orathanadu - 614625  ",SMBE1,B.Sc. Microbiology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3594,1051012,"Ponmana Chemmal Puratchi Thalaivar M.G.R. Government Arts and Science College,  Sirkali, Puthur-609108",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35b5,1051014,"Government Arts and Science College, Vedaranyam - 614810",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e358d,1051010,"Government Arts and Science College, Chinna Illuppapattu, College Road, Manalmedu-609 202",AHIE1,B.A. History (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35b2,1051014,"Government Arts and Science College, Vedaranyam - 614810",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e358b,1051010,"Government Arts and Science College, Chinna Illuppapattu, College Road, Manalmedu-609 202",CBAE1,B.B.A. Business  Administration (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35b8,1051015,"Government Arts and Science College, Thiruthuraipoondi - 614715",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35b7,1051015,"Government Arts and Science College, Thiruthuraipoondi - 614715",LENE1,B.A. English ( 1ST SHIFT )
6457ad9abd452186e59e3591,1051011,"Dr.Puratchi Thalaivar M.G.R Government Arts and Science College, Kudavasal - 612601",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3583,1051009,"Government Arts and Science College, Peravurani - 614804",LTAT1,B.A. Tamil ( 1ST SHIFT )
6457ad9abd452186e59e35d9,1052021,"Government Arts and Science College for Women, Koothanallur- 614101",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35d0,1051019,"Government Arts and Science College, Kuthalam - 609810",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35e8,1061001,"H.H. The Rajah's College (Autonomous), Pudukkottai - 622001",SCAE1,B.C.A. Bachelor of Computer Application (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35eb,1061001,"H.H. The Rajah's College (Autonomous), Pudukkottai - 622001",CBAE1,B.B.A. Business  Administration (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35f7,1061002,"Thanthai Periyar Government Arts and Science College (Autonomous), Tiruchirapalli- 620023",CCOT1,B.Com. (Commerce) (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3607,1061002,"Thanthai Periyar Government Arts and Science College (Autonomous), Tiruchirapalli- 620023",SSTE1,B.Sc. Statistics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e35fe,1061002,"Thanthai Periyar Government Arts and Science College (Autonomous), Tiruchirapalli- 620023",SMAT1,B.Sc. Mathematics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3608,1061002,"Thanthai Periyar Government Arts and Science College (Autonomous), Tiruchirapalli- 620023",SGEE1,B.Sc. Geography (E/M) ( 1ST SHIFT )
